Player,Span_bat,Mat_bat,Inns_bat,NO_bat,Runs_bat,HS_bat,Ave_bat,BF_bat,SR_bat,100_bat,50_bat,0_bat,Span_bowl,Mat_bowl,Inns_bowl,Balls_bowl,Runs_bowl,Wkts_bowl,BBI_bowl,Ave_bowl,Econ_bowl,SR_bowl,4_bowl,5_bowl,Country
mahmudullah,2007-2019,175,151,41,3757,128*,34.15,4938,76.08,3,20,8,2007-2019,175,132,4066,3501,76,3/4,46.06,5.16,53.5,0,0,BDESH
jc buttler,2012-2019,131,108,23,3531,150,41.54,2953,119.57,8,18,12,2012-2019,131,-,-,-,-,-,-,-,-,-,-,ENG
hdrl thirimanne,2010-2019,118,98,13,2990,139*,35.17,4170,71.70,4,20,6,2010-2019,118,4,104,94,3,2/36,31.33,5.42,34.6,0,0,SL
jj roy,2015-2019,76,74,2,2938,180,40.80,2764,106.29,8,14,7,2015-2019,76,-,-,-,-,-,-,-,-,-,-,ENG
da miller,2010-2019,120,106,31,2922,139,38.96,2897,100.86,5,12,8,2010-2019,120,-,-,-,-,-,-,-,-,-,-,SA
dm bravo,2009-2019,107,103,13,2820,124,31.33,4026,70.04,3,18,7,2009-2019,107,-,-,-,-,-,-,-,-,-,-,WI
se marsh,2008-2019,71,70,4,2747,151,41.62,3371,81.48,7,15,3,2008-2019,71,-,-,-,-,-,-,-,-,-,-,AUS
babar azam,2015-2019,64,62,9,2739,125*,51.67,3186,85.96,9,12,2,2015-2019,64,-,-,-,-,-,-,-,-,-,-,PAK
mohammad shahzad,2009-2019,82,82,3,2720,131*,34.43,3067,88.68,6,14,3,2009-2019,82,-,-,-,-,-,-,-,-,-,-,AFG
gj maxwell,2012-2019,100,90,9,2700,102,33.33,2214,121.95,1,19,8,2012-2019,100,78,2404,2230,50,4/46,44.60,5.56,48.0,2,0,AUS
mohammad nabi,2009-2019,112,100,11,2592,116,29.12,2967,87.36,1,13,5,2009-2019,112,108,5303,3768,118,4/30,31.93,4.26,44.9,2,0,AFG
twm latham,2012-2019,85,79,8,2395,137,33.73,2880,83.15,4,14,6,2012-2019,85,-,-,-,-,-,-,-,-,-,-,NZ
