,orignal_name,wikipedia_name
411,justice ali akbar qureshi,Sayyed Muhammad Mazahar Ali Akbar Naqvi
412,justice amin-ud-din khan,Mirza Ali Asghar Khan Amin al-Soltan
413,justice aqeel ahmed abbasi,Aqeel Ahmed Abbasi
414,justice arshad ali,Arshad Warsi
415,justice arshad hussain khan,Family of Imran Khan
416,justice asif saeed khan khosa,Asif Saeed Khan Khosa
417,justice athar minallah,Athar Minallah
418,justice aziz-ur-rehman,Khalil-ur-Rehman Ramday
419,justice ch. abdul aziz,Tunku Abdul Rahman
420,justice ch. muhammad iqbal,Muhammad
421,justice ch. muhammad masood jahangir,Lahore High Court
422,justice ch. mushtaq ahmad,List of constituencies of Jammu and Kashmir Legislative Assembly
423,justice fahim ahmed siddiqui,Jolly LLB 2
424,justice faisal zaman khan,Faisal Zaman Khan
425,justice farooq haider,List of Muhajir people
426,justice ijaz anwar,Kintoor
427,justice ikramullah khan,Family of Imran Khan
428,justice irfan saadat khan,Irfan Saadat Khan
429,justice irshad ali shah,Wajid Ali Shah
430,justice ishtiaq ibrahim,Ishtiaq Ibrahim
431,justice jawad hassan,The Kite Runner
432,justice khadim hussain m. shaikh,Sindh High Court
433,justice lal jan khattak,Essak Khumari
434,justice mahmood a. khan,Asif Saeed Khan Khosa
435,justice mamoon rashid sheikh,Mamoon Rashid Sheikh
436,justice masud abid naqvi,Sayyid
437,justice mian saqib nisar,Mian Saqib Nisar
438,justice miangul hassan aurangzeb,Miangul Hassan Aurangzeb
439,justice mohammad ibrahim khan,Liaquat Ali Khan
440,justice mohsin akhtar kayani,Mohsin Akhtar Kayani
441,justice muhammad ali mazhar,Muhammad Ali Mazhar
442,justice muhammad ameer bhatti,Muhammad Ameer Bhatti
443,justice muhammad anwaarul haq,Muhammad Anwaarul Haq
444,justice muhammad ayub khan,Ayub Khan (President of Pakistan)
445,justice muhammad faisal kamal alam,Muhammad Faisal Kamal Alam
446,justice muhammad farrukh irfan khan,Muhammad Farrukh Irfan Khan
447,justice muhammad iqbal kalhoro,Muhammad Iqbal Kalhoro
448,justice muhammad junaid ghaffar,List of Pakistanis
449,justice muhammad karim khan agha,Aga Khan
450,justice muhammad qasim khan,Muhammad bin Qasim
451,justice muhammad sajid mehmood sethi,Muhammad Sajid Mehmood Sethi
452,justice muhammad shafi siddiqui,Muhammad Shafi Siddiqui
453,justice muhammad tariq abbasi,Shahid Khaqan Abbasi
454,justice muhammad waheed khan,East Bengal
