,ACCESS_METHOD_ID_,IsWeekDay_,Period_,CALL_DURATION_sum,CALL_DURATION_max,CALL_DURATION_min,CALL_DURATION_mean,NO_OF_CALLS_sum,NO_OF_CALLS_max,NO_OF_CALLS_min,NO_OF_CALLS_mean
245,-11506615,0,afternoon,63,13,1,3,23,3,1,1.096
246,-11506615,0,evening,104,65,1,11.555,11,2,1,1.223
247,-11506615,0,morning,118,14,1,4.215,30,2,1,1.071
248,-11506615,1,afternoon,44,12,1,2.096,23,2,1,1.096
249,-11506615,1,evening,28,13,1,2.8,12,2,1,1.2
250,-11506615,1,morning,84,42,1,4.94,21,3,1,1.235
251,-11505107,0,afternoon,24,22,1,8,4,2,1,1.333
252,-11505107,0,evening,56,24,1,9.336,7,2,1,1.167
253,-11505107,1,afternoon,1,1,1,1,1,1,1,1
254,-11505107,1,evening,86,36,1,9.555,9,1,1,1
255,-11504924,0,afternoon,1,1,1,1,1,1,1,1
256,-11504312,0,afternoon,15,4,1,1.5,12,3,1,1.2
257,-11504312,0,evening,53,32,1,5.89,9,1,1,1
258,-11504312,0,morning,9,2,1,1.286,7,1,1,1
259,-11504312,0,night,1,1,1,1,1,1,1,1
260,-11504312,1,afternoon,111,10,1,2.055,54,1,1,1
261,-11504312,1,evening,71,22,1,3.227,22,1,1,1
262,-11504312,1,morning,21,5,1,1.909,13,2,1,1.182
263,-11504312,1,night,4,2,1,1.333,3,1,1,1
264,-11504270,0,afternoon,2,1,1,1,2,1,1,1
265,-11504270,0,morning,14,13,1,7,2,1,1,1
266,-11504270,0,night,2,2,2,2,2,2,2,2
267,-11504270,1,afternoon,7,2,1,1.167,7,2,1,1.167
268,-11504270,1,evening,1,1,1,1,1,1,1,1
269,-11504270,1,morning,3,2,1,1.5,3,2,1,1.5
270,-11504270,1,night,19,16,3,9.5,2,1,1,1
271,-11502436,0,afternoon,1,1,1,1,1,1,1,1
272,-11502436,1,afternoon,8,5,1,2.666,3,1,1,1
273,-11502436,1,evening,8,8,8,8,1,1,1,1
274,-11502436,1,morning,5,3,2,2.5,2,1,1,1
275,-11501477,0,afternoon,1,1,1,1,1,1,1,1
276,-11501477,0,evening,27,22,1,5.4,5,1,1,1
277,-11501477,0,morning,1,1,1,1,1,1,1,1
278,-11501477,0,night,105,76,7,35,4,2,1,1.333
279,-11501477,1,afternoon,21,8,1,2.625,8,1,1,1
280,-11501477,1,evening,81,52,1,6.23,18,3,1,1.385
281,-11501477,1,morning,1,1,1,1,1,1,1,1
282,-11501477,1,night,81,60,21,40.5,2,1,1,1
283,-11499580,1,afternoon,1,1,1,1,1,1,1,1
284,-11499031,1,afternoon,6,3,1,2,3,1,1,1
285,-11499031,1,evening,12,5,1,2,7,2,1,1.167
286,-11499031,1,morning,13,3,1,1.3,11,2,1,1.1
287,-11497195,0,afternoon,88,12,1,2.75,40,4,1,1.25
288,-11497195,0,evening,123,23,1,3,57,4,1,1.391
289,-11497195,0,morning,36,29,1,5.145,9,2,1,1.286
290,-11497195,0,night,26,13,1,4.332,12,5,1,2
291,-11497195,1,afternoon,237,19,1,3.762,85,5,1,1.35
292,-11497195,1,evening,378,47,1,4.152,133,7,1,1.462
293,-11497195,1,morning,49,6,1,1.75,34,3,1,1.214
294,-11497195,1,night,16,3,1,1.6,12,2,1,1.2
295,-11495645,0,afternoon,54,44,1,7.715,7,1,1,1
296,-11495645,0,evening,7,2,1,1.167,6,1,1,1
297,-11495645,0,morning,32,25,1,6.4,6,2,1,1.2
298,-11495645,1,afternoon,37,12,1,2.055,22,4,1,1.223
299,-11495645,1,evening,24,4,1,1.5,20,4,1,1.25
300,-11495645,1,morning,31,8,1,2.066,16,2,1,1.066
301,-11495645,1,night,1,1,1,1,1,1,1,1
302,-11495584,0,afternoon,50,8,1,2.777,22,2,1,1.223
303,-11495584,0,evening,10,2,1,1.429,8,2,1,1.143
304,-11495584,0,morning,49,11,1,2.883,19,2,1,1.117
305,-11495584,0,night,1,1,1,1,1,1,1,1
306,-11495584,1,afternoon,214,42,1,3.754,64,3,1,1.123
307,-11495584,1,evening,58,5,1,2.072,30,2,1,1.071
308,-11495584,1,morning,113,12,1,3.324,42,3,1,1.235
309,-11495584,1,night,1,1,1,1,1,1,1,1
310,-11493952,0,afternoon,30,25,2,10,3,1,1,1
311,-11493952,0,evening,6,5,1,3,2,1,1,1
312,-11493952,0,morning,27,21,1,6.75,4,1,1,1
313,-11493952,1,afternoon,97,40,1,8.82,14,2,1,1.272
314,-11493952,1,morning,77,22,1,7,11,1,1,1
315,-11493790,0,afternoon,2,1,1,1,2,1,1,1
316,-11493790,0,morning,3,3,3,3,1,1,1,1
317,-11493790,1,afternoon,6,1,1,1,6,1,1,1
318,-11493790,1,evening,12,2,1,1.2,10,1,1,1
319,-11493790,1,morning,5,1,1,1,5,1,1,1
320,-11492709,0,afternoon,1,1,1,1,1,1,1,1
321,-11492709,1,evening,2,1,1,1,2,1,1,1
322,-11492709,1,morning,2,1,1,1,2,1,1,1
323,-11491975,0,afternoon,138,27,1,11.5,22,6,1,1.833
324,-11491975,0,evening,3,3,3,3,1,1,1,1
325,-11491975,0,morning,9,8,1,4.5,3,2,1,1.5
326,-11491975,1,afternoon,252,28,1,7.41,44,3,1,1.294
327,-11491975,1,evening,15,6,1,1.667,10,2,1,1.111
